

############
### COST ###
############

@corvette_reactor_cost_6 = 37
@platform_reactor_cost_9 = 120
@platform_reactor_cost_10 = 130
@platform_reactor_cost_11 = 140

@station_reactor_cost_1 = 60
@station_reactor_cost_2 = 70
@station_reactor_cost_3 = 80
@station_reactor_cost_4 = 90
@station_reactor_cost_5 = 100
@station_reactor_cost_6 = 110
@station_reactor_cost_7 = 120
@station_reactor_cost_8 = 130
@station_reactor_cost_9 = 140
@station_reactor_cost_10 = 150
@station_reactor_cost_11 = 160

@fortress_reactor_cost_1 = 70
@fortress_reactor_cost_2 = 80
@fortress_reactor_cost_3 = 90
@fortress_reactor_cost_4 = 100
@fortress_reactor_cost_5 = 110
@fortress_reactor_cost_6 = 120
@fortress_reactor_cost_7 = 130
@fortress_reactor_cost_8 = 140
@fortress_reactor_cost_9 = 150
@fortress_reactor_cost_10 = 160
@fortress_reactor_cost_11 = 170

@starbase_reactor_power_1 = 15000
@starbase_reactor_power_2 = 20000
@starbase_reactor_power_3 = 25000
@starbase_reactor_power_4 = 30000
@starbase_reactor_power_5 = 35000
@starbase_reactor_power_6 = 40000



########################################################################################################################################################################
### Fission Reactors (Level 1) #########################################################################################################################################
########################################################################################################################################################################
utility_component_template = {
	key = "BATTLECRUISER_FISSION_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_1"
	icon_frame = 1
	power = @Battlecruiser_reactor_cost_1

	
	resources = {
		category = ship_components
		cost = { alloys = @Battlecruiser_reactor_cost_1 }	
		upkeep = {
			energy = 0.6
			alloys = 0.06
		}
	}
	
	prerequisites = { "tech_fission_power" }
	component_set = "power_core"
	potential = {
		ship_uses_battlecruiser_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "BATTLECRUISER_FUSION_REACTOR"
	
	ai_weight = { weight = 1 }
}
utility_component_template = {
	key = "DREADNOUGHT_FISSION_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_1"
	icon_frame = 1
	power = @Dreadnought_reactor_power_1
	
	resources = {
		category = ship_components
		cost = { alloys = @Dreadnought_reactor_cost_1 }	
		upkeep = {
			energy = 1
			alloys = 0.1
		}
	}
	
	prerequisites = { "tech_fission_power" }
	component_set = "power_core"
	potential = {
		ship_uses_dreadnought_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "DREADNOUGHT_FUSION_REACTOR"
	
	ai_weight = { weight = 1 }
}

utility_component_template = {
	key = "STATION_FISSION_REACTOR"
	size = large
	icon = "GFX_ship_part_reactor_1"
	icon_frame = 1
	power = @station_reactor_power_1
	resources = {
		category = ship_components
		cost = {
			alloys = @station_reactor_cost_1
		}
		upkeep = {
			energy = 0.20
			alloys = 0.02
		}
	}

	prerequisites = { "tech_fission_power" }
	potential = {
		ship_uses_station_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	component_set = "power_core"
	upgrades_to = "STATION_FUSION_REACTOR"

	ai_weight = {
		weight = 1
	}
}

utility_component_template = {
	key = "FORTRESS_FISSION_REACTOR"
	size = large
	icon = "GFX_ship_part_reactor_1"
	icon_frame = 1
	power = @fortress_reactor_power_1
	resources = {
		category = ship_components
		cost = {
			alloys = @fortress_reactor_cost_1
		}
		upkeep = {
			energy = 0.20
			alloys = 0.02
		}
	}

	prerequisites = { "tech_fission_power" }
	potential = {
		ship_uses_fortress_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	component_set = "power_core"
	upgrades_to = "FORTRESS_FUSION_REACTOR"

	ai_weight = {
		weight = 1
	}
}

########################################################################################################################################################################
### Fusion Reactors (Level 2) ##########################################################################################################################################
########################################################################################################################################################################
utility_component_template = {
	key = "BATTLECRUISER_FUSION_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_2"
	icon_frame = 1
	power = @Battlecruiser_reactor_power_2
	
	resources = {
		category = ship_components
		cost = { alloys = @Battlecruiser_reactor_cost_2 }	
		upkeep = {
			energy = 0.78
			alloys = 0.078
		}
	}
	
	prerequisites = { "tech_fusion_power" }
	component_set = "power_core"
		potential = {
		ship_uses_battlecruiser_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "BATTLECRUISER_COLD_FUSION_REACTOR"
	
	ai_weight = { weight = 2 }
}

utility_component_template = {
	key = "DREADNOUGHT_FUSION_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_2"
	icon_frame = 1
	power = @Dreadnought_reactor_power_2
	
	resources = {
		category = ship_components
		cost = { alloys = @Dreadnought_reactor_cost_2 }	
		upkeep = {
			energy = 1.3
			alloys = 0.13
		}
	}
	
	prerequisites = { "tech_fusion_power" }
	component_set = "power_core"
		potential = {
		ship_uses_dreadnought_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "DREADNOUGHT_COLD_FUSION_REACTOR"
	
	ai_weight = { weight = 2 }
}

utility_component_template = {
	key = "STATION_FUSION_REACTOR"
	size = large
	icon = "GFX_ship_part_reactor_2"
	icon_frame = 1
	power = @station_reactor_power_2
	resources = {
		category = ship_components
		cost = {
			alloys = @station_reactor_cost_2
		}
		upkeep = {
			energy = 0.26
			alloys = 0.026
		}
	}

	prerequisites = { "tech_fusion_power" }
	potential = {
		ship_uses_station_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	component_set = "power_core"
	upgrades_to = "STATION_COLD_FUSION_REACTOR"

	ai_weight = {
		weight = 2
	}
}

utility_component_template = {
	key = "FORTRESS_FUSION_REACTOR"
	size = large
	icon = "GFX_ship_part_reactor_2"
	icon_frame = 1
	power = @fortress_reactor_power_2
	resources = {
		category = ship_components
		cost = {
			alloys = @fortress_reactor_cost_2
		}
		upkeep = {
			energy = 0.26
			alloys = 0.026
		}
	}

	prerequisites = { "tech_fusion_power" }
	potential = {
		ship_uses_fortress_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	component_set = "power_core"
	upgrades_to = "FORTRESS_COLD_FUSION_REACTOR"

	ai_weight = {
		weight = 2
	}
}

########################################################################################################################################################################
### Cold Fusion Reactors (Level 3) #####################################################################################################################################
########################################################################################################################################################################

utility_component_template = {
	key = "BATTLECRUISER_COLD_FUSION_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_3"
	icon_frame = 1
	power = @Battlecruiser_reactor_power_3
	
	resources = {
		category = ship_components
		cost = { alloys = @Battlecruiser_reactor_cost_3 }	
		upkeep = {
			energy = 1.02
			alloys = 0.102
		}
	}
	
	prerequisites = { "tech_cold_fusion_power" }
	component_set = "power_core"
		potential = {
		ship_uses_battlecruiser_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "BATTLECRUISER_ANTIMATTER_REACTOR"
	
	ai_weight = { weight = 3 }
}

utility_component_template = {
	key = "DREADNOUGHT_COLD_FUSION_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_3"
	icon_frame = 1
	power = @Dreadnought_reactor_power_3
	
	resources = {
		category = ship_components
		cost = { alloys = @Dreadnought_reactor_cost_3 }	
		upkeep = {
			energy = 1.69
			alloys = 0.169
		}
	}
	
	prerequisites = { "tech_cold_fusion_power" }
	component_set = "power_core"
		potential = {
		ship_uses_dreadnought_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "DREADNOUGHT_ANTIMATTER_REACTOR"
	
	ai_weight = { weight = 3 }
}

utility_component_template = {
	key = "STATION_COLD_FUSION_REACTOR"
	size = large
	icon = "GFX_ship_part_reactor_3"
	icon_frame = 1
	power = @station_reactor_power_3
	resources = {
		category = ship_components
		cost = {
			alloys = @station_reactor_cost_3
		}
		upkeep = {
			energy = 0.26
			alloys = 0.026
		}
	}

	prerequisites = { "tech_cold_fusion_power" }
	component_set = "power_core"
	potential = {
		ship_uses_station_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "STATION_ANTIMATTER_REACTOR"

	ai_weight = {
		weight = 3
	}
}

utility_component_template = {
	key = "FORTRESS_COLD_FUSION_REACTOR"
	size = large
	icon = "GFX_ship_part_reactor_3"
	icon_frame = 1
	power = @fortress_reactor_power_3
	resources = {
		category = ship_components
		cost = {
			alloys = @fortress_reactor_cost_3
		}
		upkeep = {
			energy = 0.26
			alloys = 0.026
		}
	}

	prerequisites = { "tech_cold_fusion_power" }
	component_set = "power_core"
	potential = {
		ship_uses_fortress_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "FORTRESS_ANTIMATTER_REACTOR"

	ai_weight = {
		weight = 3
	}
}

########################################################################################################################################################################
### Antimatter Reactors (Level 4) ######################################################################################################################################
########################################################################################################################################################################

utility_component_template = {
	key = "BATTLECRUISER_ANTIMATTER_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_4"
	icon_frame = 1
	power = @Battlecruiser_reactor_power_4
	
	resources = {
		category = ship_components
		cost = { alloys = @Battlecruiser_reactor_cost_4 }	
		upkeep = {
			energy = 1.32
			alloys = 0.132
		}
	}
	
	prerequisites = { "tech_antimatter_power" }
	component_set = "power_core"
	potential = {
		ship_uses_battlecruiser_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "BATTLECRUISER_ZERO_POINT_REACTOR"
	
	ai_weight = { weight = 4 }
}

utility_component_template = {
	key = "DREADNOUGHT_ANTIMATTER_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_4"
	icon_frame = 1
	power = @Dreadnought_reactor_power_4
	
	resources = {
		category = ship_components
		cost = { alloys = @Dreadnought_reactor_cost_4 }	
		upkeep = {
			energy = 2.2
			alloys = 0.22
		}
	}
	
	prerequisites = { "tech_antimatter_power" }
	component_set = "power_core"
		potential = {
		ship_uses_dreadnought_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "DREADNOUGHT_ZERO_POINT_REACTOR"
	
	ai_weight = { weight = 4 }
}

utility_component_template = {
	key = "STATION_ANTIMATTER_REACTOR"
	size = large
	icon = "GFX_ship_part_reactor_4"
	icon_frame = 1
	power = @station_reactor_power_4
	resources = {
		category = ship_components
		cost = {
			alloys = @station_reactor_cost_4
		}
		upkeep = {
			energy = 0.44
			alloys = 0.044
		}
	}

	prerequisites = { "tech_antimatter_power" }
	component_set = "power_core"
	potential = {
		ship_uses_station_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "STATION_ZERO_POINT_REACTOR"

	ai_weight = {
		weight = 4
	}
}

utility_component_template = {
	key = "FORTRESS_ANTIMATTER_REACTOR"
	size = large
	icon = "GFX_ship_part_reactor_4"
	icon_frame = 1
	power = @fortress_reactor_power_4
	resources = {
		category = ship_components
		cost = {
			alloys = @fortress_reactor_cost_4
		}
		upkeep = {
			energy = 0.44
			alloys = 0.044
		}
	}

	prerequisites = { "tech_antimatter_power" }
	component_set = "power_core"
	potential = {
		ship_uses_fortress_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "FORTRESS_ZERO_POINT_REACTOR"

	ai_weight = {
		weight = 4
	}
}

########################################################################################################################################################################
### Zero Point Reactors (Level 5) ######################################################################################################################################
########################################################################################################################################################################

utility_component_template = {
	key = "BATTLECRUISER_ZERO_POINT_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_5"
	icon_frame = 1
	power = @Battlecruiser_reactor_power_5
	
	resources = {
		category = ship_components
		cost = { alloys = @Battlecruiser_reactor_cost_5 }	
		upkeep = {
			energy = 1.7
			alloys = 0.17
		}
	}
	
	prerequisites = { "tech_zero_point_power" }
	component_set = "power_core"
	potential = {
		ship_uses_battlecruiser_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "BATTLECRUISER_DARK_MATTER_REACTOR"
	
	ai_weight = { weight = 5 }
}

utility_component_template = {
	key = "DREADNOUGHT_ZERO_POINT_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_5"
	icon_frame = 1
	power = @Dreadnought_reactor_power_5
	
	resources = {
		category = ship_components
		cost = { alloys = @Dreadnought_reactor_cost_5 }
		upkeep = {
			energy = 2.86
			alloys = 0.286
		}
	}
	
	prerequisites = { "tech_zero_point_power" }
	component_set = "power_core"
		potential = {
		ship_uses_dreadnought_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "DREADNOUGHT_DARK_MATTER_REACTOR"
	
	ai_weight = { weight = 5 }
}

utility_component_template = {
	key = "STATION_ZERO_POINT_REACTOR"
	size = large
	icon = "GFX_ship_part_reactor_5"
	icon_frame = 1
	power = @station_reactor_power_5
	resources = {
		category = ship_components
		cost = {
			alloys = @station_reactor_cost_5
		}
		upkeep = {
			energy = 0.57
			alloys = 0.057
		}
	}

	prerequisites = { "tech_zero_point_power" }
	component_set = "power_core"
	potential = {
		ship_uses_station_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "STATION_DARK_MATTER_REACTOR"

	ai_weight = {
		weight = 5
	}
}

utility_component_template = {
	key = "FORTRESS_ZERO_POINT_REACTOR"
	size = large
	icon = "GFX_ship_part_reactor_5"
	icon_frame = 1
	power = @fortress_reactor_power_5
	resources = {
		category = ship_components
		cost = {
			alloys = @fortress_reactor_cost_5
		}
		upkeep = {
			energy = 0.57
			alloys = 0.057
		}
	}

	prerequisites = { "tech_zero_point_power" }
	component_set = "power_core"
	potential = {
		ship_uses_fortress_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "FORTRESS_DARK_MATTER_REACTOR"

	ai_weight = {
		weight = 5
	}
}

########################################################################################################################################################################
### Dark Matter Reactors (Level 6) #####################################################################################################################################
########################################################################################################################################################################

utility_component_template = {
	key = "CORVETTE_DARK_MATTER_REACTOR"
	size = small
	icon = "GFX_ship_part_dark_matter_power_core"
	icon_frame = 1
	power = @corvette_reactor_power_6
	resources = {
		category = ship_components
		cost = {
			alloys = @corvette_reactor_cost_6
			sr_dark_matter = 1
		}
		upkeep = {
			energy = 0.37
			alloys = 0.037
		}
	}

	prerequisites = { "tech_dark_matter_power_core" }
	component_set = "power_core"
	potential = {
		ship_uses_corvette_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}

	ai_weight = {
		weight = 6
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
		modifier = {
			factor = 0.0
			is_ai = yes
		}
	}
}

utility_component_template = {
	key = "DESTROYER_DARK_MATTER_REACTOR"
	size = small
	icon = "GFX_ship_part_dark_matter_power_core"
	icon_frame = 1
	power = @destroyer_reactor_power_6
	resources = {
		category = ship_components
		cost = {
			alloys = @destroyer_reactor_cost_6
			sr_dark_matter = 2
		}
		upkeep = {
			energy = 0.74
			alloys = 0.074
		}
	}

	prerequisites = { "tech_dark_matter_power_core" }
	component_set = "power_core"
	potential = {
		ship_uses_destroyer_components = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "DESTROYER_GRAVITON_REACTOR"

	ai_weight = {
		weight = 6
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
		modifier = {
			factor = 0.0
			is_ai = yes
		}
	}
}

utility_component_template = {
	key = "CRUISER_DARK_MATTER_REACTOR"
	size = small
	icon = "GFX_ship_part_dark_matter_power_core"
	icon_frame = 1
	power = @cruiser_reactor_power_6
	resources = {
		category = ship_components
		cost = {
			alloys = @cruiser_reactor_cost_6
			sr_dark_matter = 4
		}
		upkeep = {
			energy = 1.48
			alloys = 0.148
		}
	}

	prerequisites = { "tech_dark_matter_power_core" }
	component_set = "power_core"
	potential = {
		ship_uses_cruiser_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "CRUISER_GRAVITON_REACTOR"

	ai_weight = {
		weight = 6
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
		modifier = {
			factor = 0.0
			is_ai = yes
		}
	}
}

utility_component_template = {
	key = "BATTLECRUISER_DARK_MATTER_REACTOR"
	size = small
	icon = "GFX_ship_part_dark_matter_power_core"
	icon_frame = 1
	power = @Battlecruiser_reactor_power_6
	
	resources = {
		category = ship_components
		cost = {
			alloys = @Battlecruiser_reactor_cost_6
			sr_dark_matter = 2
		}
		upkeep = {
			energy = 2.22
			alloys = 0.222
		}
	}
	
	prerequisites = { "tech_dark_matter_power_core" }
	component_set = "power_core"
	potential = {
		ship_uses_battlecruiser_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "BATTLECRUISER_GRAVITON_REACTOR"
	
	ai_weight = { 
		weight = 6
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

utility_component_template = {
	key = "BATTLESHIP_DARK_MATTER_REACTOR"
	size = small
	icon = "GFX_ship_part_dark_matter_power_core"
	icon_frame = 1
	power = @battleship_reactor_power_6
	resources = {
		category = ship_components
		cost = {
			alloys = @battleship_reactor_cost_6
			sr_dark_matter = 8
		}
		upkeep = {
			energy = 2.98
			alloys = 0.298
		}
	}

	prerequisites = { "tech_dark_matter_power_core" }
	component_set = "power_core"
	potential = {
		ship_uses_battleship_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "BATTLESHIP_GRAVITON_REACTOR"

	ai_weight = {
		weight = 6
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
		modifier = {
			factor = 0.0
			is_ai = yes
		}
	}
}

utility_component_template = {
	key = "DREADNOUGHT_DARK_MATTER_REACTOR"
	size = small
	icon = "GFX_ship_part_dark_matter_power_core"
	icon_frame = 1
	power = @Dreadnought_reactor_power_6
	
	resources = {
		category = ship_components
		cost = {
			alloys = @Dreadnought_reactor_cost_6
			sr_dark_matter = 4
		}
		upkeep = {
			energy = 3.72
			alloys = 0.372
		}
	}
	
	prerequisites = { "tech_dark_matter_power_core" }
	component_set = "power_core"
	potential = {
		ship_uses_dreadnought_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "DREADNOUGHT_GRAVITON_REACTOR"
	
	ai_weight = { 
		weight = 6
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

utility_component_template = {
	key = "TITAN_DARK_MATTER_REACTOR"
	size = small
	icon = "GFX_ship_part_dark_matter_power_core"
	icon_frame = 1
	power = @titan_reactor_power_6
	resources = {
		category = ship_components
		cost = {
			alloys = @titan_reactor_cost_6
			sr_dark_matter = 16
		}
		upkeep = {
			energy = 5.93
			alloys = 0.593
		}
	}

	prerequisites = { "tech_dark_matter_power_core" }
	component_set = "power_core"
	potential = {
		ship_uses_titan_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "TITAN_GRAVITON_REACTOR"

	ai_weight = {
		weight = 6
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
		modifier = {
			factor = 0.0
			is_ai = yes
		}
	}
}

utility_component_template = {
	key = "JUGGERNAUT_DARK_MATTER_REACTOR"
	size = small
	icon = "GFX_ship_part_dark_matter_power_core"
	icon_frame = 1
	power = @juggernaut_reactor_power_6
	resources = {
		category = ship_components
		cost = {
			alloys = @juggernaut_reactor_cost_6
			sr_dark_matter = 20
		}
		upkeep = {
			energy = 20.79
			alloys = 2.079
		}
	}

	prerequisites = { "tech_dark_matter_power_core" }
	component_set = "power_core"
	potential = {
		ship_uses_juggernaut_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}

	friendly_aura = {
		name = "juggernaut_logistics"
		system_wide = yes

		stack_info = {			#A ship can only be affected by one aura of a certain id. If multiple auras have the same ID the one with the highest priority will be applied.
			id = juggernaut_logistics
			priority = 1
		}

		modifier = {
			ships_logistics_mult = -0.75
		}
	}

	upgrades_to = "JUGGERNAUT_GRAVITON_REACTOR"

	ai_weight = {
		weight = 6
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
		modifier = {
			factor = 0.0
			is_ai = yes
		}
	}
}

utility_component_template = {
	key = "PLATFORM_DARK_MATTER_REACTOR"
	size = large
	icon = "GFX_ship_part_dark_matter_power_core"
	icon_frame = 1
	power = @platform_reactor_power_6
	resources = {
		category = ship_components
		cost = {
			alloys = @platform_reactor_cost_6
			sr_dark_matter = 4
		}
		upkeep = {
			energy = 0.74
			alloys = 0.074
		}
	}

	prerequisites = { "tech_dark_matter_power_core" }
	component_set = "power_core"
	potential = {
		ship_uses_platform_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}

	ai_weight = {
		weight = 6
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
		modifier = {
			factor = 0.0
			is_ai = yes
		}
	}
}

utility_component_template = {
	key = "ION_CANNON_DARK_MATTER_REACTOR"
	size = small
	icon = "GFX_ship_part_dark_matter_power_core"
	icon_frame = 1
	power = @cruiser_reactor_power_6
	resources = {
		category = ship_components
		cost = {
			alloys = @cruiser_reactor_cost_6
			sr_dark_matter = 8
		}
	}

	prerequisites = { "tech_dark_matter_power_core" }
	component_set = "power_core"
	potential = {
		ship_uses_ion_cannon_components = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	ai_weight = {
		weight = 6
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
		modifier = {
			factor = 0.0
			is_ai = yes
		}
	}
}

utility_component_template = {
	key = "STARBASE_DARK_MATTER_REACTOR"
	size = large
	icon = "GFX_ship_part_dark_matter_power_core"
	icon_frame = 1
	power = @starbase_reactor_power_6

	prerequisites = { "tech_dark_matter_power_core" }
	component_set = "power_core"

	potential = {
		ship_uses_starbase_components = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}

	upgrades_to = "STARBASE_PRIMARY_REACTOR"

	ai_weight = {
		weight = 6
	}
}

utility_component_template = {
	key = "STARBASE_BIO_DARK_MATTER_REACTOR"
	size = large
	icon = "GFX_ship_part_bio_dark_matter_power_core"
	icon_frame = 1
	power = @starbase_reactor_power_6

	prerequisites = { "tech_dark_matter_power_core" }
	component_set = "power_core"
	potential = {
		ship_uses_starbase_components = yes
		from = {
			country_uses_bio_ships = yes
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = yes
	}

	upgrades_to = "STARBASE_BIO_PRIMARY_REACTOR"

	ai_weight = {
		weight = 6
	}
}

utility_component_template = {
	key = "STARBASE_BIO_PRIMARY_REACTOR"
	size = large
	icon = "GFX_ship_part_dark_matter_power_core"
	icon_frame = 1
	power = 50000

	prerequisites = { "tech_graviton_power" }
	component_set = "power_core"

	potential = {
		ship_uses_starbase_components = yes
		from = {
			country_uses_bio_ships = yes
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = yes
	}

	ai_weight = {
		weight = 100
	}
}

utility_component_template = {
	key = "STATION_DARK_MATTER_REACTOR"
	size = large
	icon = "GFX_ship_part_dark_matter_power_core"
	icon_frame = 1
	power = @station_reactor_power_6
	resources = {
		category = ship_components
		cost = {
			alloys = @station_reactor_cost_6
			sr_dark_matter = 4
		}
		upkeep = {
			energy = 0.74
			alloys = 0.074
		}
	}

	prerequisites = { "tech_dark_matter_power_core" }
